,School Year,Building Code,DBN,Location Name,Location Code,Major N,Oth N,NoCrim N,Prop N,Vio N,TotalCrimes
5235,2015-16,M485,03M485,Fiorello H. LaGuardia High School of Music & Art a,M485,0.0,4.0,2.0,2.0,0.0,8.0
5236,2015-16,M488,02M059,P.S. 059 Beekman Hill International,M059,,,,,,0.0
5237,2015-16,M488,02M630,Art and Design High School,M630,,,,,,0.0
5238,2015-16,M488,,231-249 EAST 56 STREET CONSOLIDATED LOCATION,,0.0,7.0,2.0,6.0,0.0,15.0
5239,2015-16,M490,03M283,Manhattan Theatre Lab High School,M283,,,,,,0.0
5240,2015-16,M490,03M299,"High School for Arts, Imagination and Inquiry",M299,,,,,,0.0
5241,2015-16,M816,02M527,PS 527 - East Side School for Social Action,M527,0.0,0.0,0.0,0.0,0.0,0.0
5242,2015-16,M490,03M307,"Urban Assembly School for Media Studies, The",M307,,,,,,0.0
5243,2015-16,M490,03M492,"High School for Law, Advocacy and Community Justic",M492,,,,,,0.0
5244,2015-16,M490,03M494,High School of Arts and Technology,M494,,,,,,0.0
5245,2015-16,M490,03M541,Manhattan / Hunter Science High School,M541,,,,,,0.0
5246,2015-16,M490,,122 AMSTERDAM AVENUE CONSOLIDATED LOCATION,,1.0,5.0,33.0,3.0,1.0,43.0
5247,2015-16,M495,04M495,Park East High School,M495,0.0,1.0,2.0,0.0,1.0,4.0
5248,2015-16,M501,84M341,HCZ PROMISE ACADEMY II CHARTER SCHOOL(MN) ,M341,,,,,,0.0
5249,2015-16,M501,05M157,The Urban Assembly School for Global Commerce,M157,,,,,,0.0
5250,2015-16,M501,05M469,Choir Academy of Harlem,M469,,,,,,0.0
5251,2015-16,M501,,2005 MADISON AVENUE CONSOLIDATED LOCATION,,1.0,3.0,2.0,1.0,2.0,9.0
5252,2015-16,M506,03M505,Edward A. Reynolds West Side High School,M505,1.0,3.0,7.0,3.0,0.0,14.0
5253,2015-16,M510,01M458,Forsyth Satellite Academy,M458,,,,,,0.0
5254,2015-16,M510,01M650,Cascades High School,M650,,,,,,0.0
5255,2015-16,M510,,198 FORSYTH STREET CONSOLIDATED LOCATION,,0.0,5.0,3.0,4.0,0.0,12.0
5256,2015-16,M520,02M135,The Urban Assembly School for Emergency Management,M135,,,,,,0.0
5257,2015-16,M520,02M280,Manhattan Early College School for Advertising,M280,,,,,,0.0
5258,2015-16,M824,02M418,Millennium High School,M418,0.0,0.0,0.0,0.0,0.0,0.0
5259,2015-16,M520,02M282,Urban Assembly Maker Academy,M282,,,,,,0.0
5260,2015-16,M520,02M520,Murry Bergtraum High School for Business Careers,M520,,,,,,0.0
5261,2015-16,M641,75M501,Home Instruction,M501,,,,,,0.0
5262,2015-16,M520,,411 PEARL STREET CONSOLIDATED LOCATION,,1.0,9.0,26.0,3.0,4.0,43.0
5263,2015-16,M528,06M528,I.S. 528 Bea Fuller Rodgers School,M528,0.0,2.0,2.0,1.0,1.0,6.0
5264,2015-16,M535,02M288,Food and Finance High School,M288,,,,,,0.0
5265,2015-16,M535,02M296,High School of Hospitality Management,M296,,,,,,0.0
5266,2015-16,M535,02M300,"Urban Assembly School of Design and Construction,",M300,,,,,,0.0
5267,2015-16,M535,02M303,"Facing History School, The",M303,,,,,,0.0
5268,2015-16,M535,02M542,Manhattan Bridges High School,M542,,,,,,0.0
5269,2015-16,M535,,525 WEST  50TH STREET CONSOLIDATED LOCATION,,1.0,5.0,15.0,4.0,2.0,27.0
5270,2015-16,M540,06M540,A. Philip Randolph Campus High School,M540,3.0,8.0,14.0,6.0,4.0,35.0
5271,2015-16,M600,02M600,The High School of Fashion Industries,M600,2.0,8.0,17.0,7.0,3.0,37.0
5272,2015-16,M615,02M376,NYC iSchool,M376,,,,,,0.0
5273,2015-16,M615,02M615,Chelsea Career and Technical Education High School,M615,,,,,,0.0
5274,2015-16,M615,,131 AVENUE OF THE AMERICAS CONSOLIDATED LOCATION,,1.0,2.0,6.0,3.0,0.0,12.0
5275,2015-16,M620,02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,M427,,,,,,0.0
5276,2015-16,M620,02M432,Murray Hill Academy,M432,,,,,,0.0
5277,2015-16,M620,02M500,Unity Center for Urban Technologies,M500,,,,,,0.0
5278,2015-16,M620,84M351,SUCCESS ACADEMY HIGH SCHOOL OF THE LIBERAL ARTS(MS),M351,,,,,,0.0
5279,2015-16,M620,,111 EAST  33RD STREET CONSOLIDATED LOCATION,,1.0,5.0,13.0,4.0,2.0,25.0
5280,2015-16,M625,02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,M139,,,,,,0.0
5281,2015-16,M625,02M393,BUSINESS OF SPORTS SCHOOL,M393,,,,,,0.0
5282,2015-16,M625,02M507,Urban Assembly Gateway School for Technology,M507,,,,,,0.0
5283,2015-16,M625,02M625,High School of Graphic Communication Arts,M625,,,,,,0.0
5284,2015-16,M625,84M170      ,Success Academy Hell's Kitchen,M170,,,,,,0.0
5285,2015-16,M625,,439 WEST 49TH STREET CONSOLIDATED LOCATION,,0.0,4.0,8.0,3.0,0.0,15.0
5286,2015-16,M641,02M560,High School M560 - City As School,M560,,,,,,0.0
5287,2015-16,M641,75M721,P.S. M721 - Manhattan Occupational Training Center,M721,,,,,,0.0
5288,2015-16,M641,,16 CLARKSON STREET STREET CONSOLIDATED LOCATION,,3.0,2.0,3.0,3.0,2.0,13.0
5289,2015-16,M645,02M655,Life Sciences Secondary School,M655,2.0,5.0,17.0,4.0,3.0,31.0
5290,2015-16,M660,02M413,School of the Future High School,M413,1.0,2.0,1.0,3.0,0.0,7.0
5291,2015-16,M661,02M575,Manhattan Comprehensive Night and Day High School,M575,2.0,3.0,1.0,2.0,3.0,11.0
5292,2015-16,M751,75M751,Manhattan School for Career Development,M751,0.0,1.0,1.0,0.0,1.0,3.0
5293,2015-16,M807,02M586,Harvey Milk High School,M586,0.0,0.0,8.0,0.0,0.0,8.0
