School Campus,Arrested,Child in Crisis,Juvenile Report,Mitigated,PINS / Warrant,Summons,mitigated,Total
IS/JHS 180(XE),,1.0,2.0,1.0,,,,4.0
IS/JHS 187(BS),,,1.0,,,,,1.0
IS/JHS 206(XW),,2.0,,,,,,2.0
IS/JHS 226(QS),,2.0,,,,,3.0,5.0
IS/JHS 229(XW),3.0,9.0,,,,,,12.0
IS/JHS 291(BN),,1.0,1.0,9.0,,1.0,1.0,13.0
IS/JHS 383(BN),,3.0,,2.0,,,4.0,9.0
IS/JHS 52 (MN),3.0,,1.0,,,,,4.0
IS/JHS 59(QS),,2.0,,,,,,2.0
IS/JHS 98(BS),,,,1.0,,,,1.0
IS/JHS 99(MN),1.0,7.0,1.0,,,,,9.0
Icahn Charter School 3(XW),1.0,,,,,,,1.0
Innovation Diploma Plus(Manhattan),1.0,,,,,2.0,,3.0
Institute for Health Professions at Cambria Heights(QS),1.0,,,,,,,1.0
International School for Liberal Arts(XW),,,1.0,,,,1.0,2.0
It Takes a Village Academy ITAVA(BS),,,,,,,1.0,1.0
JACQUELINE K ONASSIS HS(MS),,1.0,4.0,,,4.0,,9.0
JAMAICA HS(QS) ,,,,2.0,,1.0,,3.0
JAMAICA LEARNING CENTER(QS),1.0,2.0,,2.0,,,,5.0
JAMES MADISON HS(BS),16.0,5.0,7.0,10.0,,7.0,1.0,46.0
JANE ADDAMS HS FOR ACADEMIC CAREERS(XE) ,2.0,4.0,1.0,2.0,,8.0,4.0,21.0
