,dbn,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
284,K351,,,,,,,,"1,123,806","1,811,330","1,897,530","1,881,433","2,491,085"
285,K352,,,,,,"4,236,198","3,834,951","3,599,453","3,406,228","3,219,913","3,351,590","3,325,567"
286,K353,,,,,,"1,673,469","1,675,900","2,003,228","2,335,277","2,365,459","2,242,209","2,149,271"
287,K354,,,,,,"2,657,306","2,788,154","2,854,228","2,851,018","2,679,787","2,974,004","4,042,981"
288,K361,,,,,,"5,396,303","5,196,362","5,315,775","5,411,146","5,553,901","5,674,399","5,445,361"
289,K363,,,,,,,,"1,062,440","1,421,208","1,571,457","1,294,141","1,164,957"
290,K364,,,,,,"3,113,099","3,073,271","3,072,102","3,132,189","3,293,235","3,302,562","3,327,520"
291,K366,,,,,,"2,178,807","2,672,367","3,109,542","3,555,945","4,376,498","4,425,872","4,253,590"
292,K375,,,,,,"5,194,950","5,266,931","5,600,147","5,654,376","5,549,469","5,759,612","5,678,955"
293,K376,,,,,,"5,312,722","5,358,199","5,289,446","5,395,739","5,000,629","5,153,178","5,404,799"
294,K377,,,,,,"7,006,558","6,733,810","6,391,395","5,876,608","5,803,996","5,804,706","5,638,778"
295,K380,,,,,,"6,516,705","7,047,797","7,294,804","7,765,243","7,698,700","7,786,582","7,916,280"
296,K381,,,,,,"3,675,326","3,333,365","3,554,070","3,547,372","3,422,784","3,281,722","3,210,544"
297,K382,,,,,,"4,065,695","4,113,030","4,082,393","3,954,187","3,996,835","3,920,135","3,795,301"
298,K383,,,,,,"5,792,581","5,214,353","4,967,798","5,927,308","6,106,917","6,779,928","7,343,464"
299,K384,,,,,,"6,625,267","6,622,140","6,639,755","6,770,152","6,450,117","6,564,052","6,648,648"
300,K385,,,,,,"2,777,978","2,704,188","2,198,125","2,131,820","1,968,399","1,736,425",0
301,K392,,,,,,"1,877,038","2,102,828","2,066,403","2,042,440","2,104,841","2,467,364","2,882,211"
302,K393,,,,,,"3,679,997","3,505,216","2,885,288","2,072,934","1,640,434","1,607,502","1,665,120"
303,K394,,,,,,"5,867,628","5,456,834","5,293,108","5,387,049","5,391,992","5,378,264","5,883,062"
304,K397,,,,,,"3,523,445","3,345,451","3,340,402","3,096,925","3,339,077","3,169,030","3,076,359"
305,K398,,,,,,"4,778,109","4,535,123","4,660,530","4,551,097","4,975,891","5,253,699","5,548,472"
306,K399,,,,,,"3,695,916","3,714,702","3,791,552","3,638,437","3,653,063","3,625,591","3,807,874"
307,K401,,,,,,,"1,721,022","2,538,097","2,812,854","2,904,059","3,333,562","3,575,060"
308,K403,,,,,,"3,317,348","3,208,075","3,436,935","3,600,463","3,695,929","3,828,863","3,913,768"
309,K404,,,,,,"2,686,516","2,780,688","2,971,112","3,659,470","4,220,463","4,892,381","5,537,448"
310,K405,,,,,,"20,540,455","19,446,627","19,206,258","19,341,546","19,585,897","20,947,624","22,252,525"
311,K408,,,,,,"2,537,547","2,597,394","2,535,669","2,409,198","2,485,252","2,275,204","2,222,304"
312,K409,,,,,,"3,190,848","2,885,932","3,200,200","3,331,225","3,667,380","3,961,253","4,705,210"
313,K410,,,,,,"16,581,658","16,117,482","15,725,682","16,176,139","15,803,027","16,302,177","16,564,951"
314,K412,,,,,,"3,477,429","3,375,099","3,285,527","3,352,854","3,246,245","3,441,619","3,775,701"
315,K414,,,,,,,,"2,028,952","2,969,567","3,679,458","4,815,914","5,277,078"
316,K418,,,,,,"3,421,885","3,369,673","3,513,928","3,494,320","3,592,386","3,778,989","3,821,613"
317,K419,,,,,,"4,915,624","4,352,560","4,152,208","4,334,785","4,489,149","4,685,970","5,221,495"
318,K420,,,,,,"7,261,101","2,870,558",0,,,,
319,K422,,,,,,,,"1,086,615","1,842,676","2,353,660","2,902,634","3,952,120"
320,K423,,,,,,,"1,311,784","1,974,402","2,499,542","2,933,075","2,763,800","2,531,580"
321,K425,,,,,,"18,195,885","18,866,850","18,398,942","18,132,503","18,148,046","19,968,623","24,531,231"
322,K429,,,,,,"5,284,757","4,746,830","3,834,519","3,645,015","3,380,849","3,084,204","2,886,672"
323,K430,,,,,,"27,193,015","26,538,356","27,641,396","28,045,977","27,883,404","29,869,586","32,227,862"
324,K439,,,,,,"3,281,045","3,090,946","3,000,142","3,060,174","3,053,454","3,280,613","3,490,281"
325,K442,,,,,,"2,637,539","2,514,486","2,684,609","3,021,074","3,261,854","3,439,569","3,538,651"
326,K443,,,,,,"3,473,283","3,531,929","3,679,063","3,756,553","3,663,081","3,989,984","4,324,120"
327,K445,,,,,,"20,055,665","20,198,693","19,910,011","22,228,442","23,659,618","25,204,075","27,577,835"
328,K446,,,,,,,,"2,199,689","2,872,456","3,334,608","3,908,283","4,220,888"
329,K447,,,,,,"4,943,960","5,009,601","5,492,607","5,211,871","5,152,814","5,425,721","5,726,559"
330,K448,,,,,,"6,039,377","5,840,007","6,166,671","6,183,593","6,491,367","6,885,747","7,170,135"
331,K449,,,,,,"2,365,120","2,971,392","3,208,649","3,611,444","4,127,022","4,252,112","4,871,716"
332,K452,,,,,,"1,960,436","2,030,401","2,270,715","2,733,520","2,829,125","2,777,983","3,143,798"
333,K454,,,,,,"2,916,092","3,336,205","3,096,040","3,056,713","2,965,939","3,033,983","3,473,590"
334,K455,,,,,,"14,644,624","13,520,776","11,810,739","9,000,945","8,289,038","7,263,417","7,167,654"
335,K462,,,,,,"4,191,891","3,856,249","3,727,197","3,565,543","3,117,455","3,261,402","3,570,519"
336,K463,,,,,,"3,467,924","2,945,997","2,644,442","2,580,346","2,461,581","2,380,712","2,411,218"
337,K464,,,,,,"3,345,719","3,222,837","3,600,690","3,339,351","3,566,981","4,503,002","5,563,000"
338,K468,,,,,,"2,908,815","3,214,399","3,561,028","3,811,139","4,242,971","4,186,164","4,895,383"
339,K474,,,,,,"7,362,608","7,191,083","8,099,503","8,400,582","8,286,027","7,878,562","8,167,623"
340,K477,,,,,,"5,712,216","5,715,594","5,210,442","5,133,901","4,937,657","4,625,156","4,355,496"
341,K478,,,,,,"7,062,822","7,098,935","6,936,777","7,237,505","7,093,160","8,421,243","7,448,657"
342,K483,,,,,,"3,280,388","3,178,405","3,078,827","3,082,740","3,202,838","3,351,834","3,634,175"
343,K484,,,,,,"1,686,234","1,669,856","1,575,727","1,821,518","1,833,509","1,862,840","1,994,951"
344,K485,,,,,,"8,946,147","9,602,657","9,126,771","9,333,779","9,529,807","9,969,175","10,981,601"
345,K488,,,,,,"3,050,597","3,012,413","3,372,376","3,578,688","3,639,229","3,897,865","4,116,479"
346,K489,,,,,,"2,637,992","2,514,862","1,976,888","1,516,183","1,550,427","1,496,136","1,407,377"
347,K490,,,,,,"25,762,347","24,972,715","25,532,003","25,982,372","25,697,864","29,225,297","32,201,319"
348,K492,,,,,,"2,206,442","2,512,688","2,865,887","3,003,165","3,116,857","3,683,216","3,971,406"
349,K493,,,,,,"4,095,839","4,012,575","3,906,306","3,757,916","3,266,081","3,504,549","3,541,427"
350,K495,,,,,,"16,716,913","16,512,058","14,068,963","10,863,851","7,250,416","4,282,263",0
351,K497,,,,,,"4,293,825","4,248,328","4,131,406","4,362,551","4,269,918","4,470,939","5,246,146"
352,K498,,,,,,"2,818,176","3,255,784","3,291,507","3,726,033","4,124,478","4,863,943","5,150,834"
353,K499,,,,,,"5,185,918","5,022,718","4,903,502","4,656,384","3,954,901","3,354,914","2,765,223"
354,K500,,,,,,"4,616,779",,,,,,
355,K502,,,,,,"3,425,594","3,284,909","3,079,683","2,971,654","3,229,195","3,234,403","3,412,112"
356,K503,,,,,,"8,772,152","9,049,378","9,624,566","10,096,269","10,957,522","11,779,280","12,295,430"
357,K504,,,,,,"3,343,792","3,335,058","3,102,119","2,883,466","2,859,866","2,748,683","2,806,347"
358,K505,,,,,,"25,208,606","25,173,209","23,300,496","23,386,826","24,444,462","24,899,759","27,653,788"
359,K506,,,,,,"6,318,904","6,302,497","6,849,437","6,719,533","7,294,808","7,803,558","8,283,984"
360,K507,,,,,,"3,227,615","3,373,911","3,504,290","3,294,736","3,551,087","3,631,253","4,114,843"
361,K509,,,,,,"2,097,886","1,864,593","1,712,469",0,,,
362,K510,,,,,,"3,136,747","2,984,325","2,988,925","2,691,900","3,179,721","2,947,895","3,110,309"
363,K514,,,,,,"3,094,996","2,850,664","2,894,728","2,767,364","2,847,022","2,588,691","2,647,371"
364,K516,,,,,,,,,"1,074,317","1,750,649","2,705,040","3,644,824"
365,K518,,,,,,"2,627,844","2,468,532","2,323,300","2,222,054","2,024,777","2,060,096","2,194,166"
366,K519,,,,,,"6,509,993","6,207,871","5,708,825","5,425,522","5,540,510","5,486,948","5,942,089"
367,K520,,,,,,"2,091,400","1,625,953",0,,,,
368,K522,,,,,,"1,878,928","1,906,471","1,781,522","1,626,777","1,691,476","1,894,589","1,899,646"
369,K524,,,,,,"3,994,824","3,656,224","3,696,857","3,698,826","3,729,985","3,860,762","3,950,659"
370,K525,,,,,,"25,630,504","25,249,367","25,581,606","25,335,896","25,143,438","26,094,997","27,879,996"
371,K527,,,,,,"2,770,309","3,185,154","3,481,105","3,546,818","3,597,109","3,486,732","3,863,586"
372,K528,,,,,,"2,967,434","2,676,096","2,397,684","2,471,939","2,269,831","2,422,574","2,293,118"
373,K529,,,,,,"2,012,297","1,948,041","1,986,395","1,984,912","1,933,219","2,137,787","2,163,313"
374,K530,,,,,,"2,607,583","1,968,013","1,524,472","1,088,778",0,,
375,K531,,,,,,"3,148,367","3,270,069","3,549,531","3,773,200","3,964,746","3,960,457","3,851,218"
376,K532,,,,,,,,,"2,146,965","3,050,138","3,789,964","5,025,688"
377,K533,,,,,,"3,701,262","3,315,763","3,161,610","4,141,070","4,086,081","4,177,970","3,638,699"
378,K534,,,,,,"2,439,036","2,442,081","2,333,508","2,095,624","1,710,358","1,748,822",0
379,K535,,,,,,"6,037,120","5,882,980","6,099,103","6,764,573","6,942,339","7,256,878","7,386,343"
380,K537,,,,,,"3,547,459","3,504,227","3,451,490","3,702,246","4,063,957","4,375,193","4,778,830"
381,K539,,,,,,"3,292,570","3,364,736","3,374,899","3,427,059","3,569,860","3,509,575","3,444,892"
382,K540,,,,,,"16,821,381","17,049,501","15,187,735","15,691,663","16,625,485","17,573,558","18,866,547"
383,K543,,,,,,"3,260,039","3,257,966","3,448,268","3,535,152","3,500,543","3,624,686","4,195,008"
384,K544,,,,,,"3,881,969","3,734,483","2,503,823","1,699,221","1,188,659",0,
385,K545,,,,,,"5,438,824","4,823,117","4,549,137","4,464,584","4,587,054","4,856,564","5,226,251"
386,K546,,,,,,"2,605,879","2,641,053","2,819,524","2,993,921","3,149,917","3,550,110","3,849,975"
387,K547,,,,,,"3,754,625","3,653,953","3,737,582","3,737,235","3,710,268","3,742,470","3,771,471"
388,K548,,,,,,"2,983,829","3,046,455","2,977,096","2,949,021","2,933,145","3,036,591","2,994,190"
389,K549,,,,,,"3,629,336","3,815,152","4,187,245","4,030,096","3,962,661","4,187,926","4,525,646"
390,K552,,,,,,"4,035,062","3,931,069","3,459,460","3,468,751","3,016,706","3,349,185","2,877,830"
391,K553,,,,,,"2,131,600","2,051,585","1,830,003","1,766,740","1,832,605","1,865,958","1,890,555"
392,K554,,,,,,"1,896,263","1,812,421","1,959,530","2,124,428","2,240,374","2,520,675","2,821,433"
393,K555,,,,,,"3,294,538","3,326,086","3,270,736","3,359,892","3,359,705","3,588,916","3,985,483"
394,K556,,,,,,"3,854,667","3,770,843","3,767,211","3,776,260","3,431,499","3,291,572","3,453,997"
395,K557,,,,,,,,,"1,796,135","2,375,657","2,973,555","3,870,502"
396,K558,,,,,,"3,116,995","3,692,306","4,077,653","4,225,538","4,970,110","5,130,274","5,304,501"
397,K559,,,,,,"1,897,040","2,150,843","2,289,306","2,251,363","2,465,637","2,644,381","2,893,042"
398,K561,,,,,,"3,733,242","3,971,512","4,190,590","4,391,477","4,530,285","4,979,384","5,184,479"
399,K562,,,,,,,,"1,780,586","2,845,708","3,755,190","3,964,659","3,930,923"
400,K563,,,,,,"3,529,128","3,606,783","4,016,930","4,881,255","5,130,258","5,444,075","6,382,936"
401,K564,,,,,,"3,844,964","4,184,475","3,261,451","3,313,870","3,066,745","2,751,438","2,854,965"
402,K566,,,,,,"2,516,660","2,789,284","2,868,127","2,763,312","2,782,130","3,064,579","3,142,554"
403,K567,,,,,,"2,964,132","3,136,557","3,100,072","3,263,823","3,165,853","2,972,320","3,201,810"
404,K568,,,,,,"2,290,075","2,311,439","2,203,169","2,046,213","2,045,325","1,950,207","1,921,307"
405,K569,,,,,,"2,393,332","2,460,897","2,468,010","2,822,211","2,946,805","3,157,405","3,572,267"
406,K571,,,,,,"1,888,945","1,428,288","1,006,513",0,,,
407,K572,,,,,,"1,965,305","1,986,986","2,041,784","2,320,414","2,470,641","2,633,521","2,876,694"
408,K575,,,,,,"1,437,636","1,635,556","1,543,719","1,438,727","1,534,750","1,679,506","1,590,369"
409,K576,,,,,,"2,701,404","2,901,462","2,943,688","2,962,135","2,864,156","2,890,138","3,092,485"
410,K577,,,,,,"3,064,622","3,196,705","3,343,202","3,546,131","3,583,309","3,885,779","4,125,477"
411,K578,,,,,,"2,166,569","2,032,893","2,000,687","1,903,980","1,846,841","2,103,577","2,166,436"
412,K581,,,,,,"2,434,297","2,514,633","2,461,227","3,001,840","3,002,422","2,941,264","2,644,148"
413,K582,,,,,,"2,753,229","2,670,206","2,809,284","2,879,122","2,595,861","2,628,853","3,208,913"
414,K583,,,,,,"3,375,094","3,390,933","3,446,220","3,226,067","2,843,232","2,632,867","2,726,566"
415,K584,,,,,,"2,461,052","2,602,619","2,311,983","2,115,065","1,697,496","1,663,556","1,580,805"
416,K586,,,,,,"5,017,536","4,619,751","4,490,542","4,570,019","4,720,844","5,017,127","5,528,470"
417,K587,,,,,,"3,821,919","3,765,435","2,993,793","2,009,225",0,,
418,K588,,,,,,"2,997,430","3,027,044","3,302,584","3,427,565","2,831,477","2,530,213","2,576,896"
419,K589,,,,,,"2,037,664","2,138,912","2,179,602","2,188,587","2,200,662","2,027,903","2,160,550"
420,K590,,,,,,"5,705,648","5,594,291","5,725,503","6,326,635","6,751,893","7,457,762","7,810,363"
421,K592,,,,,,"1,374,853",,"1,408,832","1,614,833","1,843,330","2,275,856","2,523,968"
422,K594,,,,,,"1,931,178","2,089,941","2,233,016","2,093,192","1,992,599","1,927,877","2,064,115"
423,K595,,,,,,"2,599,952","2,471,066","2,548,194","2,623,391","2,609,426","2,774,116","2,837,488"
424,K596,,,,,,"1,583,478","1,563,485","1,921,832","1,580,897","1,467,635","1,408,523",0
425,K598,,,,,,"2,896,480","2,873,488","2,906,198","2,897,543","2,477,375","1,922,226","1,925,389"
426,K599,,,,,,,,,"1,666,151","2,074,518","2,472,117","3,252,938"
427,K600,,,,,,"13,589,903","12,465,671","12,533,844","12,765,951","13,021,678","13,204,003","12,819,094"
428,K605,,,,,,"8,780,270","8,046,757","7,670,348","6,910,765","5,818,373","6,438,215","7,277,043"
429,K609,,,,,,"2,453,954","2,994,059","3,547,166","3,832,815","3,912,423","4,246,693","4,674,237"
430,K610,,,,,,"8,897,555","8,446,356","6,758,517","5,809,438","5,132,439","5,893,303","5,286,875"
431,K611,,,,,,,,,"1,382,660","1,833,990","3,087,153","4,103,817"
432,K614,,,,,,"1,805,257","2,024,767","2,421,378","2,827,202","3,158,364","2,989,572","3,188,023"
433,K615,,,,,,"11,253,089","10,295,759","9,595,950","9,520,657","9,391,470","9,245,377","9,158,626"
434,K616,,,,,,"1,951,085","1,923,564","1,891,477","2,021,800","2,107,732","2,061,052","2,462,113"
435,K617,,,,,,"2,153,303","2,628,869","2,784,053","2,810,709","2,743,264","2,805,984","2,795,723"
436,K618,,,,,,"2,893,275","3,326,937","3,487,583","3,613,954","3,660,156","4,089,996","4,231,910"
437,K620,,,,,,"11,819,423","10,897,250","8,655,899","7,937,258","7,242,413","7,180,885","7,034,869"
438,K625,,,,,,"6,474,338","3,776,910","3,026,829","1,862,074",0,,
439,K627,,,,,,"1,195,320","1,352,713","1,456,752","1,384,845","1,433,310","1,464,385","3,458,656"
440,K628,,,,,,"1,187,377","1,430,826","1,611,753","1,703,875","1,870,313","2,053,160","2,077,495"
441,K629,,,,,,"2,209,951","2,514,172","2,741,222","2,783,351","2,989,939","3,147,810","3,400,303"
442,K630,,,,,,,,,"1,568,810","1,752,612","2,030,792","2,137,685"
443,K631,,,,,,"4,042,304","4,093,916","2,382,142","1,480,818","1,075,252",0,
444,K632,,,,,,"1,623,041","1,800,639","1,598,162","1,492,845","1,557,191","1,456,224","1,432,186"
445,K633,,,,,,"2,369,589","3,376,615","3,730,756","3,656,408","3,607,295","3,617,698","3,697,198"
446,K634,,,,,,"1,833,231","2,002,137","2,089,042","1,509,725","1,008,035",0,
447,K635,,,,,,"1,908,977","1,782,343","1,830,632","1,764,763","1,938,934","1,905,257","2,453,203"
448,K636,,,,,,"2,033,554","2,080,944","2,090,402","1,938,977","1,996,518","1,824,036",0
449,K637,,,,,,"1,763,191","1,986,002","2,284,290","2,444,277","2,669,991","2,790,334","2,763,075"
450,K639,,,,,,"2,769,365","3,099,864","3,318,149","3,489,670","3,417,024","3,290,642","3,817,048"
451,K642,,,,,,"2,111,634","2,476,693","2,504,247","2,652,611","2,811,414","2,814,276","2,871,323"
452,K643,,,,,,"2,036,506","2,138,982","2,009,541","1,984,678","2,131,291","1,986,764","2,070,668"
453,K644,,,,,,"1,828,905","2,627,503","3,238,209","4,126,406","4,828,271","5,100,536","5,488,718"
454,K645,,,,,,"1,203,563",,,,,,
455,K646,,,,,,"2,311,633","2,362,335","2,347,185","2,363,016","2,612,262","2,592,942","2,595,914"
456,K647,,,,,,"2,257,544","1,783,358","1,814,763","1,816,923","1,786,189","1,807,655","2,267,849"
457,K654,,,,,,,,,"1,507,926","2,160,401","3,063,627","3,383,456"
458,K656,,,,,,"4,614,843","4,518,291","4,909,953","5,397,963","6,414,431","7,061,722","7,184,236"
459,K659,,,,,,"3,207,812","3,109,053","3,277,906","4,086,918","4,001,556","4,213,807","3,200,089"
460,K660,,,,,,"7,426,846","7,548,026","6,132,608","5,896,310","6,265,706","6,483,261","6,626,513"
461,K661,,,,,,,,,"1,512,036","2,388,214","3,597,938","3,969,623"
462,K662,,,,,,,,,"1,792,354","2,951,082","4,434,690","4,706,936"
463,K663,,,,,,,,,"1,134,968","1,348,009","1,621,775","1,812,746"
464,K664,,,,,,,,,"871,477","997,106","1,426,930","1,946,747"
465,K667,,,,,,"5,546,553","7,520,957","9,626,223","10,048,884","10,281,047","10,609,064","11,110,191"
466,K668,,,,,,,,,"1,097,327","1,287,682","1,776,922","1,953,070"
467,K669,,,,,,,,,"1,776,533","2,251,078","2,784,714","2,948,706"
468,K670,,,,,,"4,470,979","4,535,700","4,551,831","4,663,520","4,964,923","5,350,169","5,636,826"
469,K671,,,,,,"780,660","1,208,882","1,888,485","2,125,198","2,091,356","2,335,734","2,160,347"
470,K673,,,,,,"1,920,821","1,789,246","1,611,413","1,647,471","1,942,221","2,059,051","2,431,844"
471,K674,,,,,,"1,921,695","2,523,172","3,032,114","3,383,387","3,453,985","3,603,329","3,734,761"
472,K676,,,,,,"1,959,830","2,576,088","2,780,285","2,594,335","2,445,542","2,428,175","2,342,663"
473,K677,,,,,,"3,485,103","4,377,441","5,015,701","5,228,389","5,653,233","5,835,147","5,877,008"
474,K678,,,,,,"1,470,017","2,072,427","2,100,575","2,409,599","2,629,397","2,727,620","3,200,505"
475,K681,,,,,,,,"1,189,759","1,726,860","2,319,300","2,125,452","2,073,139"
476,K682,,,,,,"1,900,690","2,518,912","3,390,643","4,254,826","5,104,850","5,742,836","6,369,142"
477,K683,,,,,,"1,976,300","2,281,623","2,657,350","2,664,213","2,623,279","2,808,524","2,960,288"
478,K684,,,,,,,"1,494,539","2,235,195","3,688,234","5,356,242","6,219,708","6,918,273"
479,K685,,,,,,"2,400,816","2,420,350","2,399,065","2,538,443","2,628,967","2,667,432","2,880,075"
480,K686,,,,,,"1,458,962","1,811,447","2,322,463","2,854,142","3,148,710","3,675,087","4,340,136"
481,K688,,,,,,"1,364,253","1,518,474","1,374,847","1,518,598","1,583,908","1,520,971","1,489,461"
482,K690,,,,,,"6,676,388","6,713,123","6,432,469","6,299,076","7,051,132","7,338,973","7,926,993"
483,K691,,,,,,"1,137,314","1,694,289","2,173,581","2,369,813","2,318,286","2,628,191","2,645,332"
484,K697,,,,,,"4,090,407","3,790,038","3,934,137","3,330,710","3,453,022","3,062,249","3,438,385"
485,K698,,,,,,"1,581,775","1,584,149","1,542,679","1,554,053","1,658,176","1,753,805","2,169,009"
486,K705,,,,,,,,"2,194,014","2,783,471","3,865,535","4,422,854","4,689,301"
487,K722,,,,,,,,"1,309,831","2,377,263","3,542,679","3,531,233","3,838,263"
488,K728,,,,,,"1,709,803","1,651,656","1,709,245","1,649,182","1,935,307","1,814,516","2,129,899"
489,K745,,,,,,,,"1,117,281","1,720,387","2,100,776","2,867,024","3,097,482"
490,K748,,,,,,"1,448,187","1,898,572","2,591,465","3,396,044","4,169,100","4,793,107","4,580,529"
491,K751,,,,,,"1,088,929","1,434,512","1,944,770","2,812,913","3,485,301","3,380,900","3,622,166"
492,K760,,,,,,,,,,"1,165,297","1,858,242","2,846,442"
493,K763,,,,,,,,,,"928,234","1,601,028","2,417,673"
494,K764,,,,,,,,,,"936,553","1,365,587","2,375,907"
495,K765,,,,,,,,,,"1,243,907","1,920,869","2,428,573"
496,K770,,,,,,"1,458,326","1,591,257","1,730,881","2,277,090","2,491,625","2,816,537","2,908,693"
497,K821,,,,,,"3,725,964","3,814,160","3,829,987","4,110,312","4,344,682","4,418,017","4,654,134"
498,K839,,,,,,,,,,,"1,278,571","2,132,104"
499,K889,,,,,,,,,,,,
500,K890,,,,,,,,,,,,
501,K971,,,,,,"1,346,777","1,660,342","2,024,328","2,477,839","3,043,994","3,402,119","3,750,250"
502,M001,,,,,,"4,850,982","4,808,233","4,889,143","4,770,467","4,889,400","4,956,825","4,802,138"
503,M002,,,,,,"7,062,255","6,870,880","6,938,698","7,105,487","6,776,368","6,949,354","7,189,914"
504,M003,,,,,,"5,419,033","5,507,125","5,820,438","5,905,717","6,236,384","6,593,551","6,830,206"
505,M004,,,,,,"6,176,023","6,014,445","6,192,173","6,434,871","6,125,421","6,263,760","6,977,342"
506,M005,,,,,,"6,781,925","6,429,408","6,662,967","6,644,259","6,843,879","6,887,206","7,225,130"
507,M006,,,,,,"5,783,719","5,415,147","5,415,973","5,329,466","5,413,726","5,575,087","5,897,228"
508,M007,,,,,,"3,589,990","3,360,178","3,534,068","3,582,328","3,766,108","3,865,204","4,210,716"
509,M008,,,,,,"5,430,256","4,926,457","4,889,673","4,973,615","5,285,681","5,576,556","6,113,007"
510,M009,,,,,,"4,743,242","4,531,032","4,795,779","5,122,060","5,152,635","5,614,639","5,756,829"
511,M011,,,,,,"5,224,587","5,313,183","5,401,403","5,866,535","6,427,470","6,893,300","7,259,366"
512,M012,,,,,,"2,681,337","2,603,497","2,612,610","2,804,065","2,927,536","3,298,913","3,433,026"
513,M013,,,,,,"3,763,829","3,264,619","2,855,818","1,986,833","1,247,983",0,
514,M015,,,,,,"2,814,527","2,793,939","2,516,840","2,974,669","3,071,623","3,473,235","3,641,163"
515,M018,,,,,,"3,764,228","3,720,108","3,847,919","3,762,714","3,684,101","4,128,522","4,004,137"
516,M019,,,,,,"3,584,212","3,892,055","3,825,671","4,082,897","4,406,847","4,685,476","4,952,701"
517,M020,,,,,,"5,790,543","5,480,524","5,470,927","5,589,488","5,575,072","5,559,122","5,669,018"
518,M028,,,,,,"8,262,953","8,115,621","7,662,248","7,621,989","7,347,998","7,489,292","7,712,862"
519,M030,,,,,,"6,037,949","5,951,592","5,827,040","5,861,502","5,653,116","5,646,783","5,622,987"
520,M033,,,,,,"3,596,449","3,900,743","3,969,275","4,088,503","4,483,323","4,787,361","4,660,050"
521,M034,,,,,,"4,692,736","4,482,414","4,514,246","4,419,436","4,253,000","4,655,103","4,769,360"
522,M036,,,,,,"6,082,330","6,168,508","5,616,867","5,870,482","5,861,153","5,919,801","6,140,881"
523,M037,,,,,,"2,518,758","2,371,291","2,351,227","2,193,719","2,353,610","2,241,036","2,089,843"
524,M038,,,,,,"3,404,192","3,286,038","3,401,640","3,330,334","3,144,362","3,349,161","3,386,068"
525,M040,,,,,,"4,544,622","4,603,433","4,549,627","4,546,531","4,858,691","5,192,204","5,594,792"
526,M041,,,,,,"5,440,314","5,265,217","5,319,109","5,333,974","5,556,029","5,941,845","6,061,915"
527,M042,,,,,,"6,899,545","6,612,679","6,564,589","6,475,248","6,356,722","6,885,977","7,090,281"
528,M044,,,,,,"1,873,886",,,,,,
529,M045,,,,,,"3,899,339","3,234,503","2,529,224",0,,,
530,M046,,,,,,"6,231,329","6,430,396","6,519,301","6,614,761","7,229,395","6,864,125","7,475,646"
531,M047,,,,,,"2,798,953","2,602,860","2,584,057","2,751,651","2,595,904","2,638,436","2,830,000"
532,M048,,,,,,"5,780,747","5,989,865","6,191,363","6,061,037","5,884,178","6,052,656","6,460,473"
533,M050,,,,,,"4,719,016","4,030,593","4,097,545","3,983,309","4,097,208","4,713,070","4,441,006"
534,M051,,,,,,"3,011,574","2,876,921","2,949,144","3,085,203","3,451,162","3,876,965","4,381,899"
535,M052,,,,,,"7,547,609","6,819,759","6,065,302","5,383,893","5,161,832","4,802,638","4,381,151"
536,M054,,,,,,"5,441,818","5,119,528","5,131,052","5,286,728","5,209,123","5,650,717","5,874,200"
537,M057,,,,,,"6,712,341","6,473,990","6,685,823","7,314,511","7,693,856","8,165,811","8,274,512"
538,M059,,,,,,"3,982,429","3,988,526","4,214,886","4,253,506","4,379,264","4,714,188","4,688,981"
539,M063,,,,,,"2,811,327","2,704,021","2,735,132","2,742,847","2,996,822","3,215,499","3,302,100"
540,M064,,,,,,"3,952,391","4,031,617","4,066,337","3,684,735","3,728,297","3,736,216","3,559,663"
541,M072,,,,,,"5,525,107","5,500,285","5,453,918","5,372,403","5,633,148","6,467,820","7,147,010"
542,M075,,,,,,"5,550,895","5,353,899","5,150,898","5,895,289","6,382,565","6,969,885","8,170,300"
543,M076,,,,,,"4,455,834","4,641,182","4,780,290","4,714,419","4,713,810","4,748,907","5,177,139"
544,M077,,,,,,"2,830,368","2,795,799","2,628,221","2,455,191","2,332,953","2,557,379","2,768,599"
545,M083,,,,,,"3,590,428","3,447,728","3,586,795","3,956,033","4,068,921","4,029,224","4,368,897"
546,M084,,,,,,"4,263,131","4,652,568","4,592,789","4,628,916","4,566,057","4,686,181","5,570,859"
547,M087,,,,,,"6,756,576","7,260,822","7,540,485","7,180,248","7,123,855","7,389,295","7,644,998"
548,M089,,,,,,"3,971,789","3,911,873",,,,,
549,M092,,,,,,,,,,,,
550,M096,,,,,,,,,,,,
551,M098,,,,,,,,,,,,
552,M102,,,,,,,,,,,,
553,M103,,,,,,,,,,,,
554,M104,,,,,,,,,,,,
555,M108,,,,,,,,,,,,
556,M110,,,,,,,,,,,,
557,M111,,,,,,,,,,,,
558,M112,,,,,,,,,,,,
559,M114,,,,,,,,,,,,
560,M115,,,,,,,,,,,,
561,M116,,,,,,,,,,,,
562,M123,,,,,,,,,,,,
563,M124,,,,,,,,,,,,
564,M125,,,,,,,,,,,,
565,M126,,,,,,,,,,,,
566,M128,,,,,,,,,,,,
567,M129,,,,,,,,,,,,
568,M130,,,,,,,,,,,,
569,M131,,,,,,,,,,,,
570,M132,,,,,,,,,,,,
571,M133,,,,,,,,,,,,
572,M134,,,,,,,,,,,,
573,M135,,,,,,,,,,,,
574,M137,,,,,,,,,,,,
575,M139,,,,,,,,,,,,
576,M140,,,,,,,,,,,,
