School Campus,Arrested,Child in Crisis,Juvenile Report,Mitigated,PINS / Warrant,PINS Warrant,Summons,Total
Food & Finance HS(MS),2.0,,,,,,,2.0
Frances Perkins Academy(BN),,,1.0,,,,,1.0
Frank McCourt HS(MN),,,,,,,1.0,1.0
GEORGE W. WINGATE HS GED (BS),,,,1.0,,,,1.0
GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES(Queens)(QS),1.0,1.0,,4.0,,,,6.0
GEORGE WASHINGTON HS(MN),5.0,3.0,4.0,7.0,1.0,,5.0,25.0
GEORGE WESTINGHOUSE CAREER & TECHNICAL EDUCATION HS(BN) ,1.0,3.0,3.0,8.0,1.0,,6.0,22.0
GEORGE WINGATE HS(BS),3.0,2.0,1.0,2.0,1.0,,3.0,12.0
GLOBE SCHOOL FOR ENVIRONMENTAL RESEARCH(XE),3.0,0.0,,,,,,3.0
GRACE  DODGE CAREER & TECHNICAL EDUCATION HS(XW),5.0,2.0,4.0,1.0,,,5.0,17.0
GROVER CLEVELAND HS(QN) ,9.0,2.0,1.0,3.0,,,1.0,16.0
Girls Prep. Charter Sch. of the Bx@MS 301X (XE),,,1.0,,,,,1.0
Global Technology Preparatory(MN),,,2.0,,,,,2.0
Gotham Professional Arts Academy(BN),,1.0,,,,,,1.0
Grammercy Arts HS(MS),,,2.0,,,,1.0,3.0
Grand Street Campus(BN) ,14.0,4.0,3.0,54.0,,,10.0,85.0
Grant Avenue Elementary School(XW),,1.0,,,,,,1.0
HARRY S TRUMAN HS(XE),7.0,9.0,5.0,6.0,,,4.0,31.0
HARRY VAN ARSDALE HS GED(BN) ,,,1.0,,,,,1.0
HARRY VAN ARSDALE HS(BN),2.0,2.0,1.0,13.0,,,10.0,28.0
HARVEY MILK HS(MS),1.0,5.0,,,,,6.0,12.0
HEALTH OPPORTUNITIES HS(XW) ,10.0,3.0,2.0,2.0,,,4.0,21.0
HERBERT H LEHMAN HS(XE) ,5.0,1.0,3.0,,,,18.0,27.0
HILLCREST HS(QS),11.0,1.0,2.0,5.0,,1.0,5.0,25.0
HS FOR ARTS IMAGINATION & INQUIRY(MN),7.0,2.0,3.0,,,,10.0,22.0
HS FOR CONTEMPORARY ARTS(XE),1.0,,2.0,,,,3.0,6.0
HS FOR ENVIRONMENTAL STUDIES(MS) ,8.0,1.0,,,,,12.0,21.0
HS FOR HEALTH CAREERS & SCIENCES(MN),1.0,,1.0,,,,1.0,3.0
HS FOR HEALTH PROFESSIONS & HUMAN SERVICES(MS),2.0,1.0,4.0,5.0,,,6.0,18.0
HS FOR LAW & PUBLIC SERVICE(MN),3.0,,,,,,,3.0
HS FOR LAW ADVOCACY & COMMUNITY JUSTICE(MN),2.0,,7.0,,,,3.0,12.0
HS FOR LAW ENFORCEMENT & PUBLIC SAFETY(QS),2.0,4.0,2.0,6.0,,,2.0,16.0
HS FOR PUBLIC SERVICE HEROES OF TOMORROW(BS),1.0,,,1.0,,,1.0,3.0
HS FOR SERVICE & LEARNING@ERASMUS(BS),,,,1.0,,,,1.0
HS FOR TEACHING & THE PROFESSIONS(XW),,1.0,,,,,2.0,3.0
HS FOR VIOLIN & DANCE(XE) ,1.0,2.0,,4.0,,,3.0,10.0
HS FOR YOUTH & COMMUNITY DEVELOPMENT@ERASMUS(BS),,,,,,,1.0,1.0
HS OF ARTS & TECHNOLOGY(MN) ,4.0,1.0,5.0,1.0,,,7.0,18.0
HS OF COMPUTERS & TECHNOLOGY(XE) ,,,,,,,1.0,1.0
HS OF ECONOMICS & FINANCE(MS) ,2.0,,2.0,1.0,,,1.0,6.0
HS OF GRAPHIC COMMUNICATION ARTS(MS) ,2.0,,,,,,2.0,4.0
HS OF TELECOMMUNICATION ARTS & TECHNOLOGY(BS) ,,,,1.0,,,1.0,2.0
HS OF WORLD CULTURES(XE),,,,,,,1.0,1.0
HS for Community Leadership,1.0,,,1.0,,,,2.0
HS for Construction Trades Engineering & Architecture(QS),3.0,1.0,,1.0,,,2.0,7.0
HS for Innovation in Advertising & Media(BS),,,1.0,,,,,1.0
HUMANITIES & ARTS MAGNET HS(QS),1.0,2.0,,7.0,,,3.0,13.0
HUMANITIES PREPARATORY ACADEMY(MS) ,,1.0,,,,,1.0,2.0
Harlem Prep Charter School(MN),1.0,,,,,,,1.0
Harlem Village Academies Leadership Charter School(MN),,2.0,,,,,,2.0
Hawtree Creek Middle School(QS),1.0,,,,,,,1.0
Hillside Arts & Letters Academy(QS),,,,3.0,,,1.0,4.0
Hudson HS of Learning Technologies(MS),,2.0,1.0,,,1.0,,4.0
IN-TECH ACADEMY (MS/HS 368) (XW),,2.0,1.0,3.0,,,,6.0
INDEPENDENCE HS(MS),2.0,,,,,,,2.0
INFORMATION TECHNOLOGY HS(QN) ,2.0,,1.0,,,,,3.0
IS 10 Horace Greeley(QN),,,1.0,,,,,1.0
IS 109(QS),,1.0,,4.0,,,,5.0
IS 117 Joseph H. Wade(XW),,,1.0,,,1.0,,2.0
IS 123(XE),,4.0,2.0,1.0,,,,7.0
IS 125(QN),1.0,1.0,,1.0,,,,3.0
IS 125(XE),,,3.0,,,,,3.0
IS 126 Albert Shanker School for Visual & Performing Arts(QN),,0.0,1.0,1.0,,,,2.0
IS 139(XW),1.0,1.0,,,,,,2.0
IS 14(BS),,1.0,4.0,,,,,5.0
IS 142(BS),1.0,,,1.0,,,,2.0
IS 142(XE),3.0,2.0,3.0,1.0,,,,9.0
IS 143(MN),3.0,,4.0,,,,,7.0
IS 145 Joseph Pulitzer(QN),2.0,1.0,,,,,,3.0
IS 151(XW),3.0,,3.0,1.0,,,,7.0
IS 158(XE),2.0,,1.0,,,,,3.0
IS 162(BN),,1.0,3.0,1.0,,,,5.0
IS 162(XW),,4.0,1.0,2.0,,,,7.0
IS 171 Abraham Lincoln(BN),1.0,,1.0,3.0,,,,5.0
IS 172(MN),9.0,3.0,2.0,,,,1.0,15.0
IS 184(XW) ,3.0,5.0,12.0,5.0,,,,25.0
IS 190(XE),,,1.0,1.0,,,,2.0
IS 192(QS),1.0,,,4.0,,,,5.0
IS 192(XE),1.0,2.0,,,,,,3.0
IS 195(MN),2.0,,5.0,,,,,7.0
IS 2(SI),,1.0,1.0,1.0,,,,3.0
IS 204 Oliver Wendell Holmes(QN),2.0,,1.0,,,,,3.0
IS 211(BS),2.0,2.0,2.0,,,,,6.0
IS 217 School of Performing Arts(Bronx),3.0,3.0,4.0,15.0,,,,25.0
IS 218(BN),2.0,4.0,,4.0,,,3.0,13.0
IS 218(MN),,1.0,,,,,,1.0
IS 219 NEW VENTURE SCHOOL(XE) ,2.0,4.0,3.0,,,,2.0,11.0
IS 220(BS),,,3.0,1.0,,,,4.0
IS 227(BS),,1.0,1.0,,,,,2.0
IS 228(BS),2.0,,2.0,,,,,4.0
IS 231 MAGNETECH 2000(QS),1.0,,,1.0,,,,2.0
IS 232,1.0,1.0,1.0,1.0,,,,4.0
IS 232(BS),,1.0,2.0,,,,,3.0
IS 232(XW),2.0,,2.0,,,,,4.0
IS 234(BS),,,1.0,,,,,1.0
IS 237(QN),1.0,2.0,,,,,,3.0
IS 238(QS),5.0,,2.0,1.0,,,,8.0
IS 24(SI),2.0,,1.0,2.0,,,,5.0
IS 25(QN),,,2.0,,,,,2.0
IS 250(QS),,,,1.0,,,1.0,2.0
IS 252(BS),4.0,,2.0,,,,,6.0
IS 27(SI),1.0,,5.0,7.0,,,,13.0
IS 278(BS),6.0,,4.0,2.0,,,,12.0
IS 281(BS),1.0,,4.0,3.0,,,,8.0
IS 285(BS),,2.0,4.0,,,,,6.0
IS 293(BS),1.0,,,,,,1.0,2.0
IS 30(BS),,,1.0,,,,,1.0
IS 302(BN),,1.0,1.0,4.0,,2.0,,8.0
IS 303(BS),1.0,4.0,1.0,,,,,6.0
IS 313 School of Leadership Development(XE),,3.0,2.0,,,,,5.0
IS 33(BN),,0.0,1.0,,,,,1.0
IS 339 SCHOOL OF COMM TECH(XE),3.0,1.0,2.0,,,,,6.0
IS 34(SI),2.0,,,2.0,,,,4.0
IS 340(BS),,,1.0,2.0,,,,3.0
IS 347 School ofHumanities(BN),1.0,,3.0,,,,,4.0
"IS 349 Math, Science & Technology(BN)",,,1.0,,,,,1.0
IS 364 Annex(BN),,,1.0,,,,,1.0
IS 364 Gateway(BN),1.0,,1.0,1.0,,,,3.0
IS 391(BS),1.0,4.0,,,,,,5.0
IS 43(SI) ,,,1.0,,,,,1.0
IS 49(BN),,3.0,,,,,,3.0
IS 49(SI),1.0,3.0,2.0,2.0,,,,8.0
IS 5(QN),1.0,2.0,1.0,,,,,4.0
IS 51(SI),,,1.0,8.0,,,,9.0
IS 53(QS),5.0,,,,,,,5.0
IS 61(QN),2.0,,1.0,1.0,,,,4.0
IS 61(SI),7.0,1.0,2.0,7.0,,,,17.0
IS 62(BS),4.0,1.0,1.0,,,,,6.0
IS 68(BS),1.0,1.0,3.0,,,,,5.0
IS 7(SI),,4.0,2.0,1.0,,,,7.0
IS 70(MS),,1.0,1.0,,,,1.0,3.0
IS 72(SI),,1.0,1.0,3.0,,,,5.0
IS 73(QN),1.0,1.0,1.0,1.0,,,,4.0
IS 75(SI),,,1.0,,,,,1.0
IS 78(BS),,1.0,3.0,,,,,4.0
IS 8(QS),2.0,1.0,,14.0,,,,17.0
IS 84(XE),1.0,2.0,,,,,,3.0
IS 90(MN),,1.0,,,,,,1.0
IS 93(QN),,1.0,2.0,,,,,3.0
IS 96(BS),2.0,,1.0,,,,,3.0
IS 98(XE),2.0,0.0,,1.0,,,1.0,4.0
IS/JHS 167(MN),,1.0,,,,,,1.0
IS/JHS 180(XE),2.0,3.0,,,,,,5.0
IS/JHS 187(BS),,,2.0,,,,,2.0
IS/JHS 206(XW),,1.0,1.0,,,,,2.0
IS/JHS 226(QS),4.0,2.0,,1.0,,,1.0,8.0
IS/JHS 229(XW),2.0,5.0,,1.0,,,,8.0
IS/JHS 271(BN),3.0,,,1.0,,,,4.0
IS/JHS 291(BN),2.0,2.0,1.0,7.0,,,,12.0
IS/JHS 339(XE),,,,2.0,,,,2.0
IS/JHS 383(BN),,,1.0,2.0,,,,3.0
IS/JHS 43(MN),,,,,,,1.0,1.0
IS/JHS 59(QS),,1.0,,,,,,1.0
IS/JHS 828(BS),2.0,,,,,,,2.0
IS/JHS 98(BS),,,1.0,,,,,1.0
IS/JHS 99(MN),1.0,3.0,1.0,,,,,5.0
Icahn Charter School 3(XW),9.0,,,,,,,9.0
Innovation Diploma Plus(Manhattan),2.0,,,1.0,,,,3.0
Institute for Health Professions at Cambria Heights(QS),1.0,,,,,,,1.0
International Community HS(XW),4.0,1.0,,,,,,5.0
International HS at Union Square(MS),,1.0,,,,,,1.0
International School for Liberal Arts(XW),,1.0,1.0,,,,,2.0
JACQUELINE K ONASSIS HS(MS),2.0,,3.0,,,,7.0,12.0
JAMAICA HS(QS) ,4.0,,,1.0,1.0,,1.0,7.0
JAMAICA LEARNING CENTER(QS),1.0,,,2.0,,,,3.0
JAMES MADISON HS(BS),13.0,3.0,9.0,3.0,,,4.0,32.0
JANE ADDAMS HS FOR ACADEMIC CAREERS(XE) ,5.0,2.0,3.0,13.0,,,3.0,26.0
JHS 104 Simon Baruch(MS),1.0,,2.0,,,,,3.0
JHS 113(BN),,,,1.0,,,,1.0
JHS 113(XE),3.0,4.0,16.0,7.0,,1.0,,31.0
JHS 117 Francis Scott Key(BN),,,,6.0,1.0,,,7.0
JHS 117(BN),,,,1.0,,,,1.0
JHS 126(BN),,1.0,,1.0,,,1.0,3.0
JHS 143(XW),,6.0,,3.0,,,3.0,12.0
JHS 145 Arturo Toscanini(XW),3.0,2.0,2.0,2.0,,,2.0,11.0
JHS 166 George Gershwin(BN),,,,4.0,,,2.0,6.0
JHS 166 Roberto Clemente(XW),,4.0,,2.0,,,1.0,7.0
